proc       sintheta         tanbeta          Mxd          mA           ma           Xsec(pb)    error
gg            0.35             1.0            10           1000          500           0.01092    2.416e-05
gg            0.35             1.0            10           1200          250           0.009472    5.542e-05
gg            0.35             1.0            10           1000          350           0.02225    0.0001297
gg            0.35             10.0            10           600          100           0.01132    7.069e-06
gg            0.35             0.5            10           600          300           0.1559    0.0002156
gg            0.35             1.0            10           1400          450           0.002848    1.686e-05
gg            0.35             10.0            10           600          150           0.009443    8.099e-06
gg            0.2             1.0            10           1000          350           0.01478    6.405e-05
gg            0.35             0.5            10           600          150           0.6201    0.002545
gg            0.2             1.0            10           600          200           0.1032    0.0001202
gg            0.35             10.0            10           600          500           0.0002897    6.736e-07
gg            0.35             0.8            10           600          400           0.0416    7.357e-05
gg            0.35             0.5            10           600          400           0.04348    0.0001469
gg            0.1             1.0            10           1000          350           0.004655    2.278e-05
gg            0.35             0.8            10           600          250           0.1915    0.000215
gg            0.35             0.8            10           600          350           0.0844    0.0001367
gg            0.35             0.5            10           600          100           0.8828    0.001809
gg            0.35             10.0            10           600          300           0.005773    5.317e-06
gg            0.35             10.0            10           600          250           0.007212    6.53e-06
gg            0.35             0.8            10           600          500           0.006654    9.394e-06
gg            0.35             1.0            10           1000          150           0.0419    0.0001432
gg            0.35             0.8            10           600          300           0.1291    9.386e-05
gg            0.35             0.5            10           600          200           0.4171    0.0009505
gg            0.35             10.0            10           600          200           0.008514    7.529e-06
gg            0.35             0.5            10           600          500           0.00921    4.457e-05
gg            0.35             1.0            10           1200          150           0.0106    1.3e-05
gg            0.35             0.8            10           600          100           0.4943    0.0006318
gg            0.35             1.0            10           1400          150           0.01836    7.061e-05
gg            0.35             0.8            10           600          150           0.376    0.0006968
gg            0.1             1.0            10           600          200           0.02887    6.309e-05
gg            0.35             1.0            10           1400          250           0.008605    1.916e-05
gg            0.35             10.0            10           600          400           0.002733    4.513e-06
gg            0.35             0.8            10           600          200           0.2778    0.0004911
gg            0.35             1.0            10           1400          350           0.004877    2.343e-05
gg            0.35             1.0            10           1200          500           0.0054    3.071e-05
gg            0.35             1.0            10           1200          350           0.008832    3.792e-05
gg            0.35             40.0            10           600          400           0.001352    2.978e-06
gg            0.35             30.0            10           600          100           0.03073    0.000196
gg            0.35             8.0            10           600          200           0.01168    1.476e-05
gg            0.35             30.0            10           600          350           0.002432    5.664e-06
gg            0.35             1.5            10           600          250           0.1191    0.0001673
gg            0.35             2.0            10           600          300           0.06773    4.522e-05
gg            0.35             50.0            10           600          300           0.005114    1.282e-05
gg            0.35             1.0            10           400          100           1.352    0.0008633
gg            0.35             1.0            10           800          250           0.07022    0.0002019
gg            0.35             1.0            10           600          100           0.3784    0.0005668
gg            0.3             1.0            10           1000          350           0.02183    0.0001192
gg            0.35             8.0            10           600          150           0.01288    1.485e-05
gg            0.35             1.5            10           600          300           0.08769    0.0001337
gg            0.35             4.0            10           600          350           0.02017    2.367e-05
gg            0.35             1.5            10           600          350           0.06137    0.0001129
gg            0.35             2.0            10           600          500           0.003112    8.85e-06
gg            0.35             1.0            10           400          200           0.6008    0.000422
gg            0.35             1.0            10           800          300           0.05689    0.0001048
gg            0.35             1.0            10           400          250           0.2303    0.0005819
gg            0.35             40.0            10           600          150           0.01794    4.054e-05
gg            0.35             8.0            10           600          350           0.006166    7.141e-06
gg            0.35             1.0            10           400          150           0.987    0.0008307
gg            0.35             6.0            10           600          150           0.02117    2.482e-05
gg            0.8             1.0            10           600          200           0.1545    0.0007817
gg            0.35             1.0            10           1600          250           0.02559    3.767e-05
gg            0.7             1.0            10           600          200           0.1706    0.0001072
gg            0.35             20.0            10           600          400           0.001384    2.503e-06
gg            0.35             1.0            10           300          150           1.606    0.002528
gg            0.35             1.5            10           600          200           0.1545    0.0002968
gg            0.35             2.0            10           600          150           0.1317    0.0003095
gg            0.35             30.0            10           600          300           0.004044    2.697e-06
gg            0.35             20.0            10           600          350           0.002369    4.751e-06
gg            0.4             1.0            10           1000          350           0.02067    3.85e-05
gg            0.35             4.0            10           600          300           0.02653    1.636e-05
gg            0.35             1.0            10           700          400           0.04242    6.59e-05
gg            0.35             4.0            10           600          500           0.001384    3.222e-06
gg            0.35             1.0            10           600          500           0.005563    1.128e-05
gg            0.35             1.0            10           600          350           0.07686    0.0001633
gg            0.35             2.0            10           600          100           0.1524    0.0002773
gg            0.35             6.0            10           600          500           0.0007165    1.578e-06
gg            0.35             8.0            10           600          100           0.01429    1.264e-05
gg            0.35             50.0            10           600          150           0.02314    5.623e-05
gg            0.35             50.0            10           600          500           0.0002425    8.035e-07
gg            0.35             2.0            10           600          350           0.04835    9.241e-05
gg            0.35             1.0            10           800          350           0.04838    5.338e-05
gg            0.35             8.0            10           600          500           0.0004285    8.421e-07
gg            0.35             1.0            10           600          400           0.03989    6.825e-05
gg            0.6             1.0            10           1000          350           0.04342    0.0001809
gg            0.35             6.0            10           600          100           0.02277    2.066e-05
gg            0.35             1.0            10           600          200           0.2295    0.0003394
gg            0.35             1.5            10           600          100           0.2283    0.000406
gg            0.35             1.0            10           200          100           0.3584    0.0007837
gg            0.35             1.0            10           600          300           0.1156    0.0001285
gg            0.35             8.0            10           600          400           0.003985    6.293e-06
gg            0.35             4.0            10           600          150           0.04385    6.008e-05
gg            0.35             1.0            10           700          300           0.08371    0.0001197
gg            0.35             1.5            10           600          400           0.03445    8.92e-05
gg            0.35             20.0            10           600          200           0.006757    1.922e-05
gg            0.35             20.0            10           600          250           0.005078    9.066e-06
gg            0.35             6.0            10           600          400           0.006651    1.378e-05
gg            0.35             40.0            10           600          300           0.004603    4.87e-06
gg            0.35             1.0            10           500          200           0.3692    0.0004028
gg            0.35             50.0            10           600          350           0.002788    4.831e-06
gg            0.35             40.0            10           600          250           0.007557    1.513e-05
gg            0.35             1.0            10           700          250           0.1087    0.0001162
gg            0.35             30.0            10           600          500           0.0001728    2.725e-07
gg            0.35             1.5            10           600          150           0.1905    0.0005059
gg            0.35             6.0            10           600          300           0.01334    8.034e-06
gg            0.3             1.0            10           600          200           0.1916    0.0003364
gg            0.35             30.0            10           600          200           0.009084    1.313e-05
gg            0.35             1.0            10           600          250           0.165    0.0002123
gg            0.35             30.0            10           600          250           0.0062    1.149e-05
gg            0.35             40.0            10           600          350           0.002624    3.109e-06
gg            0.35             20.0            10           600          150           0.008461    1.767e-05
gg            0.35             2.0            10           600          250           0.08832    0.0001511
gg            0.35             8.0            10           600          250           0.009999    7.898e-06
gg            0.7             1.0            10           1000          350           0.1471    0.0005509
gg            0.35             30.0            10           600          400           0.001322    2.167e-06
gg            0.35             50.0            10           600          200           0.01448    5.885e-05
gg            0.35             4.0            10           600          400           0.0129    2.243e-05
gg            0.35             1.0            10           500          300           0.1292    0.0001745
gg            0.35             6.0            10           600          350           0.01021    1.041e-05
gg            0.35             1.0            10           800          500           0.01614    2.187e-05
gg            0.9             1.0            10           1000          350           0.6556    0.001339
gg            0.35             30.0            10           600          150           0.01281    5.182e-05
gg            0.35             1.0            10           600          150           0.2984    0.0007572
gg            0.4             1.0            10           600          200           0.2575    0.0003867
gg            0.35             40.0            10           600          500           0.0002082    3.047e-07
gg            0.35             20.0            10           600          300           0.003595    6.601e-06
gg            0.35             1.0            10           900          350           0.03346    0.0001091
gg            0.35             1.0            10           200          150           0.3253    0.0007055
gg            0.6             1.0            10           600          200           0.2362    0.0002282
gg            0.35             1.5            10           600          500           0.003995    1.399e-05
gg            0.35             1.0            10           900          500           0.01424    2.267e-05
gg            0.35             2.0            10           600          400           0.02864    7.367e-05
gg            0.35             20.0            10           600          100           0.01613    3.691e-05
gg            0.35             50.0            10           600          400           0.001389    2.259e-06
gg            0.35             1.0            10           500          250           0.2358    0.00032
gg            0.35             1.0            10           500          150           0.5074    0.0009335
gg            0.35             4.0            10           600          250           0.03268    5.342e-06
gg            0.35             6.0            10           600          200           0.01895    2.808e-05
gg            0.35             1.0            10           700          350           0.06547    8.918e-05
gg            0.35             2.0            10           600          200           0.1102    0.000156
gg            0.35             50.0            10           600          250           0.008824    2.745e-05
gg            0.35             40.0            10           600          200           0.01181    2.394e-05
gg            0.35             1.0            10           300          100           2.903    0.004634
gg            0.35             4.0            10           600          200           0.03867    8.613e-06
gg            0.35             6.0            10           600          250           0.01633    1.828e-05
gg            0.35             1.0            10           900          400           0.02536    7.158e-05
gg            0.35             40.0            10           600          100           0.04574    0.0001108
gg            0.8             1.0            10           1000          350           0.3795    0.001061
gg            0.35             1.0            10           900          300           0.03722    0.000112
gg            0.35             50.0            10           600          100           0.05891    0.0001945
gg            0.35             1.0            10           1600          350           0.01035    2.504e-05
gg            0.35             8.0            10           600          300           0.008142    6.27e-06
gg            0.35             20.0            10           600          500           0.000154    3.065e-07
gg            0.9             1.0            10           600          200           0.3353    0.001304
gg            0.35             1.0            10           1600          150           0.07525    0.0005544
gg            0.35             4.0            10           300          150           0.06813    0.0001919
gg            0.7             1.0            10           300          150           0.643    0.001393
gg            0.35             8.0            10           300          150           0.008532    1.916e-05
gg            0.35             8.0            10           300          250           0.001027    1.658e-06
